tweet_id,safe_text,label,agreement
YMRMEDME,Mickeys Measles has gone international ,0.0,1.0
5GV8NEZS,S NEW Extends exemption from charitable immunity for certain civil actions to persons of any age who are be ,0.0,1.0
EI10PS46, your ignorance on vaccines isnt just dangerous to your innocent child but to others around you Shame on you,1.0,0.6666666666666666
OM26E6DG,Pakistan partly suspends polio vaccination program after terrorists kill health workers ,0.0,1.0
NBBY86FX,In other news Ive gone up like mmr,0.0,1.0
LNIH6DYP,How vaccines changed the course of US disease over time ,0.0,0.6666666666666666
P93QRRP9, CDC Highest number of US measles cases in first five months of a year since ,0.0,0.6666666666666666
ZCZ08I3K, shld put out a statement shameful tells FB followers not to worry about measles ,-1.0,0.3333333333333333
1TIDQ8T3, vaccines causes brain swelling fever seizures and ultimately brain damage Encephalitis Autism Read package inserts,-1.0,1.0
3M07O2A6, HearThisWell Vaccines r linked autism IBD Peds Note MMR mos CDCwhistleblower BreakABillion BLess ,-1.0,1.0
QSHW6MHQ,New Recommended Immunization Schedules out from cdc ,0.0,0.6666666666666666
SFS1RIG6, Mom whose child died after catching Chicken Pox advocates for vaccines,1.0,0.6666666666666666
1ML1LUUS,My friend had measles night at his Awana Club measle for every verse memorized Awa ,0.0,1.0
XUAQBFT3,Great overview of HPV amp HPV vaccines by ,0.0,0.6666666666666666
Z92OIYVT, Ill make sure to post that once I get through with MMR,0.0,0.6666666666666666
2HOYSY0P,AUTHENTIC EBOLA VACCINE BLACK PLAGUE BLACK DEATH VACCINE YERSINIA PESTIS VACCINE HIV VACCINE ,0.0,1.0
YQ08Z4HT,I hope her unvaccinated kid gives Jim Belushi measles RT what about Jenny McCarthy,1.0,1.0
6P9XNJCZ,Vaccinate your damn kids Bc for those kids that cannot get vaccines for real harmful purposes are gonna be just as in danger as kids,1.0,0.6666666666666666
7NP3F1WJ, Explorers gave Native Americans blankets deliberately infected with measles killing off of the population,0.0,1.0
HPNH7D2N,hey everyone if you have a kid shoot em up with vaccines we aint tryna die of some shit thats preventable ja feel,1.0,1.0
W17AD10P,Ok when ever u are blessed with a child please get the rugrat vaccinated,1.0,1.0
MHACZZCM,You couldnt pay me enough to vaccinate my child No way In hell notachance,-1.0,1.0
HP96CIQQ,th case of measles in San Mateo County got on a BART train in Millbrae last Friday at pm amp got off at Civic Center in SF,0.0,1.0
9YSRNFA6, do you have a science andor medical degree Stop spreading lies about vaccines Your stupid choice but plz keep private,1.0,1.0
5T7RMAPZ,HB NEW Public finance Whistleblower Liberty Fund Act immunity award of funds effective date ,0.0,1.0
B46MPMDE,If I aint the illest nigga Im its new vaccine really more like poison,0.0,1.0
LEW9CR9T, Measles Vaccine is SAFE EFFECTIVE amp not just for kids Need a booster mapit ,1.0,1.0
KCFZ4YVU, The measles may have hit Wisconsin dammit,1.0,1.0
JDRS6D2E, the vaccine were not available when I was growing up Measles and chicken pox are not fun I even had German Measles,0.0,0.6666666666666666
S7I6OG7B,GOP Defending Your Freedom to Get Measles and Not Pay For Your Own Medical Care too clunky for a bumper sticker p UniteBlue,1.0,0.6666666666666666
4GWYDZG2,Every time I try to put on shades of yoga pants I get the measles thelightersideofrecentcontroversies,0.0,1.0
8IHLFOCR,Study of more than kids finds no link between MMR vaccine and autism ,0.0,0.6666666666666666
6EP73PSR,Sharks have the best immunity to diseases that are known to man and deadly diseases like cancer do not affect them at all Sharks ,0.0,1.0
7TGFZ50T, Spoiler alertanswer is to vaccinate Protecting Newborns Against Whooping Cough ,1.0,1.0
KKO96UA8, FDA admits in court case that murderousirresponsibility continues old debunked accusations from spammers vaccines,0.0,0.6666666666666666
GNKN8BSQ,vaccineswork U have the right watch your child die from a disease that most people dont want Stupid American white people problems,1.0,0.6666666666666666
LV0G8EV9,White Christian ppl just arent safe anymore ebola Obama illegals guncontrol FreeCommunityCollege measles in Disney MY GOD CBS,0.0,0.6666666666666666
Z3P15498,If you ever want me to have your babies you better be more than willing to have that child vaccinated VaccinateYourKids,1.0,1.0
9T6QA1CE,Indiana health officials suggest flu vaccinations for dogs via dogsrock prevent,1.0,0.6666666666666666
N7A7EOSF, Barack Obama urges vaccinations RT now no Repubs will vaccinate their children ,1.0,1.0
7HALCG0P,RE FUCKING TWEET If you think vaccines give your child autism you probably have autism yourself,1.0,1.0
79NNLJD1,Its good to be back hookem genetics vaccines health The ,0.0,0.6666666666666666
AYZTN5G0,Cooties Immunization KidLegislation,0.0,1.0
SKMZ8N2N,If the US had SchoolChoice CharterSchools could require thier students be Vaccinated amp public schools would be full of unvaccinated kids,0.0,0.6666666666666666
DTEUR07O,CDC Honors Childhood Immunization Champions during NIIW ,1.0,0.6666666666666666
RW5FZ5I4,Not sure if Sharyl Attkisson is a vaccine truther but she sure does ask a lot of questions ,0.0,0.6666666666666666
F6YUD60P,The Measles Outbreak and the Precautionary Principle via ,0.0,0.6666666666666666
6D2L6C2G,Nah everybody there got measles Who Tryna go to Disneyland spring break ,0.0,0.6666666666666666
AON17ATX, Here my new ringtone Pass it on Vaccinate Your Kids Mitch Benn ,1.0,1.0
SAZD2ARB,Childrens Museum of Houston to Offer Free Vaccinations ,1.0,0.6666666666666666
9U7TFNO7, in children are wo lifesaving vaccines pls change this amp put immunizationfirst on the Summit agenda,1.0,1.0
G9N9AMPC, Antivaccination parents risk everybodys lives not just their own I rarely call for behavior to be criminalized but that does it,1.0,1.0
PKQ52RL2,CDC HPV Vaccine Reduced Disease Rates in Teen Girls by Percent credit Robyn BeckAFPGetty ImagesBoston ,1.0,0.6666666666666666
6CLOAT0H,Parents refusing to vaccinate their children have brought back measles whooping cough and tuberculosis to SoCal,1.0,0.6666666666666666
